,Identifiant,ft_2_categ,EXPO,ft_4_categ,ft_5_categ,ft_6_categ,ft_7_categ,ft_8_categ,ft_9_categ,ft_10_categ,ft_11_categ,ft_12_categ,ft_13_categ,ft_14_categ,ft_15_categ,ft_16_categ,ft_17_categ,ft_18_categ,ft_19_categ,superficief,ft_21_categ,ft_22_categ,ft_23_categ,ft_24_categ,Insee,pluie,catnat,criminalite,pprn,chomage,rev_med
2539,5900,2013,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,1,541.0,2,1900.0,0.0,   3,13211,4,0.0,0.08332275558066343,0,12.075,19037.735042735
2540,14297,2012,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,pi,2,670.0,2,1960.0,0.0,   4,66136,3,0.0,0.06835403774194887,5,13.925,15632.0
2541,16058,2013,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,1,276.0,1,1960.0,0.3,   3,19031,0,0.0,0.03397278024428838,15,8.15,18502.7777777778
2542,7573,2013,1,0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,400.0,2,1950.0,0.0,   3,59350,2,0.0,0.0622156656659742,19,13.2,17842.0
2543,11219,2012,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,180.0,2,2006.0,0.3,   2,69287,4,0.0,0.06747024447689161,0,8.75,25054.0
2544,18514,2013,1,1,V,N,1,O,1,O,N,O,O,N,AUTRE,IDENTIQUE,V,base,2,3744.0,1,1978.0,0.0,   6,16015,3,0.0,0.04038960965480562,1,10.35,17754.2857142857
2545,13151,2013,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,700.0,3,1960.0,0.0,   .,92004,0,0.0,0.0635615240137162,0,7.75,23320.555555555602
2546,15726,2013,1,1,V,N,2,O,1,O,N,O,O,N,AUTRE,IDENTIQUE,V,effpi,2,4709.0,3,1950.0,0.0,   5,93078,1,0.0,0.09135371617835182,0,12.8,17790.0
2547,13659,2016,1,0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,1280.0,2,2004.0,0.3,   2,57017,2,0.0,0.04073106400158428,0,10.15,22233.193333333336
2548,4918,2015,1,1,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,effpi,2,800.0,4,1950.0,0.0,   5,75104,0,0.0,0.1201819361809355,0,8.15,30514.66666666667
2549,6266,2014,1,1,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,100.0,4,1950.0,0.3,   1,75115,0,0.0,0.1248164219334413,0,8.225,30246.66666666667
2550,7294,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1750.0,2,1980.0,0.0,   .,62917,1,0.0,0.04857108500247331,0,12.825,17155.3333333333
2551,4071,2015,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,9400.0,4,1960.0,0.0,   .,06083,7,0.0,0.07571782269687004,4,10.725,20400.0
2552,60,2013,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,1,410.0,1,1900.0,0.0,   4,35093,2,0.0,0.041248211874818,0,8.125,21935.5
2553,9851,2015,1,0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,pi,2,2800.0,4,1920.0,0.3,   6,06088,7,0.0,0.07571782269687004,4,10.725,19343.6
2554,9936,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,3360.0,2,1960.0,0.0,   .,13001,3,0.0,0.08578364194793993,1,11.75,21888.0
2555,12107,2013,"0,580821918",1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,6487.0,2,1988.0,0.0,   .,31446,3,39.0,0.06611698170745794,55,10.2,23040.6666666667
2556,13757,2016,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,effpi,2,432.0,2,1930.0,0.6,   4,13203,4,0.0,0.07696127724824814,4,11.675,11762.25
2557,13822,2014,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,3040.0,3,1980.0,0.0,   .,92064,0,0.0,0.06860749669852356,0,7.8,36193.5
2558,9152,2012,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,450.0,4,-1.0,0.0,   .,06088,12,0.0,0.08239911868053464,5,9.45,18683.0
2559,12437,2014,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,4295.0,2,1988.0,0.0,   .,63113,4,0.0,0.04077669601500118,0,8.65,18743.33333333333
2560,10588,2016,1,0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,750.0,2,1954.0,0.0,   4,51454,1,0.0,0.05335243824041003,21,9.45,18162.333333333336
2561,17917,2013,1,1,V,N,2,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,3110.0,2,1980.0,0.0,   5,78361,0,0.0,0.05909196014900415,17,7.225,15379.0476190476
2562,12549,2012,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1978.0,2,1988.0,0.0,   .,31555,2,78.0,0.06600544495677098,3,9.65,19883.2
2563,1206,2013,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,3700.0,1,1980.0,0.0,   .,86194,2,0.0,0.04093468259562943,0,8.275,18299.5238095238
2564,15311,2015,"0,657534247",0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,370.0,2,1960.0,0.3,   2,51454,0,0.0,0.05544362765226903,14,9.9,18230.666666666668
2565,8009,2014,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,750.0,3,-1.0,0.0,   .,93046,0,0.0,0.08640266118745178,0,12.975,20404.666666666668
2566,16726,2015,1,1,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,pi,2,3281.0,1,1980.0,0.0,   5,33063,1,0.0,0.05533950111012233,0,10.25,21404.0
2567,7774,2012,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1812.0,2,1980.0,0.0,   .,42218,9,0.0,0.04338631638857306,0,9.5,17397.7777777778
2568,14194,2013,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,270.0,1,1960.0,0.0,   .,35299,2,0.0,0.041248211874818,0,8.125,20239.2857142857
2569,3883,2015,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1411.0,2,1980.0,0.0,   .,14118,0,1.0,0.04163332511509143,40,9.85,19554.8
2570,13023,2016,"0,99726776",0,V,N,1,O,1,O,N,N,O,O,AUTRE,IDENTIQUE,V,eff,2,2300.0,2,1750.0,0.0,   4,63113,3,0.0,0.04413861994774858,0,8.7,18818.666666666664
2571,11332,2012,"0,855191257",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,470.0,1,1988.0,0.0,   .,74056,4,0.0,0.04729934263140432,12,7.125,20437.0
2572,8515,2015,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2874.0,4,-1.0,0.0,   .,06030,7,0.0,0.07571782269687004,4,10.725,20051.52380952381
2573,322,2012,1,0,V,N,1,O,1,O,N,N,O,O,AUTRE,IDENTIQUE,V,pi,2,222.0,2,1900.0,0.0,   5,63113,3,0.0,0.03931408010130201,0,8.35,18317.0
2574,7279,2015,"0,997260274",0,V,N,2,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,pi,2,997.0,4,1960.0,0.0,   4,06012,7,0.0,0.07571782269687004,4,10.725,19800.666666666668
2575,11744,2013,1,1,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,1654.0,2,2006.0,0.6,   4,26357,12,0.0,0.05900604796325943,1,10.95,17750.0
2576,13268,2015,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,350.0,2,1960.0,0.0,   .,31555,4,2.0,0.0673483618866859,0,10.525,20289.0
2577,19781,2016,"0,99726776",0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,pi,2,320.0,2,1980.0,0.6,   2,31282,2,0.0,0.06737957680819295,21,10.025,21740.993788819876
2578,10862,2015,1,0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,245.0,2,1920.0,0.0,   4,13202,5,0.0,0.07815247478208608,0,11.95,14050.166666666668
2579,10903,2016,"0,99726776",1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,160.0,2,-1.0,0.0,   .,13209,4,0.0,0.07696127724824814,4,11.675,21862.692307692305
2580,7909,2016,1,1,V,N,2,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,7000.0,2,1932.0,0.0,   9,83119,9,0.0,0.06110410760914966,0,11.05,23166.944444444445
2581,16057,2015,1,0,V,N,2,O,1,O,N,O,N,N,AUTRE,IDENTIQUE,V,base,2,3550.0,2,1968.0,0.3,   8,26362,8,0.0,0.05744525272621706,0,11.35,18453.33333333333
2582,6944,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1980.0,1,1980.0,0.0,   .,58095,1,0.0,0.03486387497347615,0,9.5,17892.2222222222
2583,9984,2012,1,0,V,N,2,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,effpi,2,3800.0,1,1960.0,0.0,   3,13001,3,0.0,0.08578364194793993,1,11.75,21888.0
2584,10988,2016,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,200.0,2,1960.0,0.0,   .,34003,13,0.0,0.06782983555574001,9,13.9,18039.2
2585,6270,2016,"0,99726776",0,V,N,2,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,effpi,2,1675.0,2,1970.0,0.0,   5,13001,4,0.0,0.07696127724824814,4,11.675,22761.6
2586,5318,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,487.0,3,1960.0,0.0,   .,64445,6,0.0,0.0407719509556328,1,8.2,18806.111111111102
2587,10607,2012,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,667.0,2,1982.0,0.6,   3,57672,0,78.0,0.04387520688640264,0,9.8,20464.6666666667
2588,3162,2015,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,670.0,2,-1.0,0.0,   .,13205,5,0.0,0.07815247478208608,0,11.95,18554.166666666668
2589,19154,2013,"0,873972603",1,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,3771.0,3,2012.0,0.3,   2,33318,6,40.0,0.05362742499752577,0,9.925,22490.5
2590,8205,2016,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1529.0,3,-1.0,0.0,   .,2B033,16,33.0,0.04322971070439166,0,11.2,17568.353448275862
2591,1189,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,650.0,1,1980.0,0.0,   .,86194,1,78.0,0.03590314824030622,0,8.05,18008.5
2592,12048,2012,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,600.0,4,1960.0,0.0,   .,75112,0,0.0,0.1043697260714775,0,8.0,26297.0
2593,17826,2012,1,1,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,effpi,2,3324.0,3,2011.0,0.0,   3,33200,2,78.0,0.0550834663330889,0,9.575,22838.0
2594,5949,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1405.0,1,1980.0,0.0,   .,87085,0,0.0,0.03475146926189709,0,9.25,18193.3333333333
2595,9656,2014,1,0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,760.0,1,1950.0,0.3,   5,63075,4,1.0,0.04077669601500118,0,8.65,25920.2
2596,5447,2013,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,770.0,3,-1.0,0.0,   .,93071,1,1.0,0.09135371617835182,0,12.8,15950.0
2597,226,2016,"0,99726776",0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2897.0,2,1980.0,0.0,   .,14118,0,0.0,0.04145433262359103,0,9.425,19412.9
2598,5422,2013,1,1,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2230.0,2,1988.0,0.0,   .,83042,9,1.0,0.06109861819610085,0,11.1,18431.0
2599,13422,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,300.0,2,1960.0,0.0,   .,13202,3,0.0,0.08578364194793993,1,11.75,13111.333333333301
2600,773,2016,"0,494535519",0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2640.0,1,1960.0,0.0,   .,27229,1,0.0,0.04130386098784888,0,10.375,16826.49193548387
2601,7586,2016,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,525.0,3,-1.0,0.0,   .,92025,0,0.0,0.06956603637071282,0,7.575,21004.666666666664
2602,4533,2014,1,0,V,N,2,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,pi,2,4461.0,1,1977.0,0.0,   4,35093,0,32.0,0.03867608308145393,0,8.0,22113.2
2603,949,2016,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,9700.0,4,1980.0,0.0,   .,06104,14,0.0,0.07059769088238117,3,10.55,22675.17558528428
2604,14950,2015,1,0,V,N,2,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,effpi,2,1213.0,2,1956.0,0.0,   4,76719,1,0.0,0.04841221945791481,7,11.25,18575.55555555556
2605,18804,2014,1,0,V,N,2,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,730.0,2,2012.0,0.0,   3,69027,5,0.0,0.06754482111788489,54,9.15,23663.5
2606,14344,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1110.0,2,1980.0,0.0,   .,38034,12,0.0,0.05269172966702667,0,8.0,17144.6666666667
2607,17079,2013,1,1,V,N,2,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,effpi,2,8612.0,3,1968.0,0.0,   5,94081,1,0.0,0.06353817009538369,0,8.725,17829.5652173913
2608,18147,2013,1,0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,290.0,2,1937.0,0.0,   3,38562,14,0.0,0.05406969637854372,0,8.275,19892.5
2609,4579,2015,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,9500.0,4,1993.0,0.0,   5,06083,7,0.0,0.07571782269687004,4,10.725,20400.0
2610,15800,2013,"0,021917808",0,V,N,3,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,pi,2,800.0,2,1975.0,0.0,   3,66136,6,0.0,0.06688062588474297,8,14.825,15785.714285714299
2611,11524,2014,"0,794520548",1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,7020.0,2,1988.0,0.0,   .,42218,6,0.0,0.04765715266636296,0,10.05,17781.714285714286
2612,11983,2013,"0,090410959",1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,10734.0,4,1960.0,0.0,   .,75115,0,0.0,0.109340556085541,0,8.275,30203.043478260897
2613,15842,2013,0,1,V,N,2,O,1,O,N,O,N,O,AUTRE,IDENTIQUE,V,effpi,2,3601.0,3,1960.0,0.0,   3,93051,1,1.0,0.09135371617835182,0,12.8,20446.0
2614,2301,2015,"0,493150685",0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,7900.0,2,1960.0,0.0,   .,26198,8,0.0,0.05744525272621706,0,11.35,19081.666666666668
2615,7625,2012,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,12706.0,2,1988.0,0.0,   .,31555,2,78.0,0.06600544495677098,3,9.65,19883.2
2616,997,2014,1,0,V,N,2,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,effpi,2,1260.0,4,1988.0,0.6,   3,06030,14,0.0,0.07700920879672707,0,10.5,19588.0
2617,17674,2013,1,1,V,N,1,O,1,O,N,O,N,N,AUTRE,IDENTIQUE,V,effpi,2,2396.0,3,1900.0,0.0,   7,94002,1,0.0,0.06353817009538369,0,8.725,19277.5
2618,11132,2013,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,840.0,2,1960.0,0.0,   .,62160,2,0.0,0.04780559716899683,0,13.375,15260.0
2619,7927,2015,1,0,V,V,V,V,V,V,V,V,V,V,V,V,O,base,2,1700.0,2,1988.0,0.0,   .,38181,14,0.0,0.05992598276661391,0,8.55,24140.95238095238
2620,11404,2012,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,300.0,2,1960.0,0.0,   .,69381,4,0.0,0.06747024447689161,0,8.75,21572.5
2621,104,2013,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1665.0,2,1980.0,0.0,   .,14118,1,17.0,0.04050177912732175,0,9.725,19024.4
2622,18530,2013,1,1,V,N,2,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,effpi,2,9449.0,3,1950.0,0.0,   8,92012,0,0.0,0.0635615240137162,0,7.75,30713.0
2623,3857,2012,"0,868852459",0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1700.0,2,1960.0,0.0,   .,14762,1,0.0,0.04090839044332082,8,9.325,17660.444444444398
2624,16933,2012,1,1,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,500.0,2,1990.0,0.0,   2,40046,0,0.0,0.0416433349283758,0,9.0,20331.0
2625,4778,2013,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,650.0,2,1960.0,0.0,   .,14366,1,0.0,0.04050177912732175,0,9.725,16512.0
2626,13986,2013,"0,753424658",1,V,N,3,O,1,O,N,N,N,O,AUTRE,IDENTIQUE,V,base,2,600.0,3,1930.0,0.3,   4,59350,2,0.0,0.0622156656659742,19,13.2,17842.0
2627,17377,2013,1,1,V,N,3,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,effpi,2,3213.0,1,2010.0,0.0,   3,44020,1,0.0,0.05994339991871265,10,8.475,21046.6666666667
2628,8180,2014,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,3080.0,3,-1.0,0.0,   .,2B033,16,0.0,0.0428894297635605,4,11.475,17306.206896551725
2629,13705,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,500.0,2,1960.0,0.0,   .,40328,0,0.0,0.0416433349283758,0,9.0,19509.5
2630,16269,2014,1,1,V,N,3,O,1,O,N,N,O,O,AUTRE,IDENTIQUE,V,effpi,2,1200.0,3,1950.0,0.0,   6,92026,0,0.0,0.06860749669852356,0,7.8,28725.714285714283
2631,295,2016,"0,99726776",0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,888.0,2,1960.0,0.0,   .,13201,4,0.0,0.07696127724824814,4,11.675,13862.416666666668
2632,16540,2015,"0,78630137",1,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,pi,2,4998.0,3,1985.0,0.0,   3,94022,0,0.0,0.06932145331972203,0,9.0,19018.153846153844
2633,19584,2015,0,0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,effpi,2,300.0,3,1900.0,0.0,   4,33063,1,0.0,0.05533950111012233,0,10.25,21404.0
2634,4941,2012,1,1,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1630.0,4,-1.0,0.0,   .,75109,0,0.0,0.1043697260714775,0,8.0,31845.7142857143
2635,239,2013,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,236.0,2,1960.0,0.0,   .,77152,1,0.0,0.06016188104307061,1,8.025,18506.6666666667
2636,9185,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,300.0,3,-1.0,0.0,   .,54395,1,1.0,0.04957955230434794,0,9.5,19623.6666666667
2637,13596,2013,0,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,3473.0,2,1980.0,0.0,   .,64024,16,1.0,0.04032936931618822,19,8.6,21794.444444444398
2638,7844,2015,"0,578082192",1,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,V,1,2218.0,2,1820.0,0.0,   3,31538,4,0.0,0.0673483618866859,0,10.525,20358.0
2639,10823,2016,"0,967213115",1,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,effpi,1,340.0,2,1920.0,0.3,   2,69205,3,0.0,0.07458346110878407,32,8.875,27591.0
2640,17603,2013,"0,915068493",0,V,N,2,O,1,O,N,O,O,N,AUTRE,IDENTIQUE,V,effpi,2,12053.0,2,1970.0,0.0,>=10,78372,0,0.0,0.05909196014900415,17,7.225,29470.25
2641,4435,2013,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,5050.0,2,1960.0,0.0,   .,21231,4,1.0,0.0423776004651154,17,8.525,20572.6666666667
2642,15173,2015,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,600.0,2,1960.0,0.0,   .,24037,2,0.0,0.03427158734476442,0,10.875,18060.666666666664
2643,805,2015,1,0,V,N,V,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,effpi,1,474.0,2,1910.0,0.0,   5,90010,5,0.0,0.0439705709322204,0,11.525,17259.333333333332
2644,13614,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,230.0,2,1988.0,0.0,   .,66136,3,0.0,0.06835403774194887,5,13.925,15632.0
2645,14817,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,300.0,4,1980.0,0.0,   .,06136,12,0.0,0.08239911868053464,5,9.45,20102.5806451613
2646,6857,2013,1,0,V,N,3,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,1080.0,1,2004.0,0.3,   2,46102,3,0.0,0.03104893012120305,2,9.5,20093.4782608696
2647,19020,2015,1,1,V,N,3,O,1,O,N,O,O,N,AUTRE,IDENTIQUE,V,effpi,2,2929.0,4,1930.0,0.0,   8,75116,0,0.0,0.1201819361809355,0,8.15,38299.0
2648,16727,2014,1,0,V,N,2,O,1,O,N,O,O,N,AUTRE,IDENTIQUE,V,pi,2,3510.0,4,1973.0,0.3,   4,06088,14,0.0,0.07700920879672707,0,10.5,19010.0
2649,950,2013,1,0,V,N,1,O,1,O,N,O,O,N,AUTRE,IDENTIQUE,V,eff,2,14800.0,4,1960.0,0.0,   8,06083,13,0.0,0.0784745334580591,5,10.225,19862.0
2650,16254,2015,1,1,V,N,2,O,1,O,N,O,O,N,AUTRE,IDENTIQUE,V,effpi,2,5586.0,4,1978.0,0.0,   5,06027,7,0.0,0.07571782269687004,4,10.725,21665.0
2651,5970,2016,"0,99726776",0,V,N,1,O,1,O,N,N,O,O,AUTRE,IDENTIQUE,V,pi,2,1100.0,3,1930.0,0.0,   5,54395,1,0.0,0.04866309358821838,0,9.85,20097.076923076922
2652,4148,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,570.0,2,1980.0,0.0,   .,62917,1,0.0,0.04857108500247331,0,12.825,17155.3333333333
2653,15626,2014,1,1,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,6980.0,2,2009.0,0.6,   5,13202,11,0.0,0.08028686949451888,0,11.9,13767.285714285714
2654,7907,2013,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1534.0,1,1988.0,0.0,   .,74012,6,0.0,0.04562953030946748,13,7.4,20076.1538461538
2655,10874,2015,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1650.0,4,1960.0,0.0,   .,75106,0,0.0,0.1201819361809355,0,8.15,38447.69230769231
2656,15847,2014,1,1,V,N,1,O,1,O,N,N,O,O,AUTRE,IDENTIQUE,V,eff,1,890.0,2,1900.0,0.0,   3,78327,1,0.0,0.05915718837704952,0,7.35,24831.666666666664
2657,16697,2012,1,1,V,N,2,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,effpi,2,3796.0,1,2010.0,0.0,   5,37122,0,78.0,0.04230262154967777,0,8.325,18873.0
2658,18990,2014,1,1,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,1120.0,2,1955.0,0.0,   3,77183,0,0.0,0.06140454013002904,0,8.075,19401.33333333333
2659,6833,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,443.0,4,1960.0,0.0,   .,06128,12,0.0,0.08239911868053464,5,9.45,25927.428571428598
2660,5434,2013,"0,246575342",0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,420.0,1,1960.0,0.0,   .,50218,1,0.0,0.02760447192445176,0,8.45,18923.3333333333
2661,15082,2013,1,1,V,N,1,O,1,O,N,O,O,O,AUTRE,IDENTIQUE,V,effpi,2,978.0,4,1920.0,0.0,   5,75119,0,0.0,0.109340556085541,0,8.275,18609.4117647059
2662,2136,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,4943.0,2,1980.0,0.0,   .,42218,9,0.0,0.04338631638857306,0,9.5,17397.7777777778
2663,14321,2013,1,0,V,N,1,O,1,O,N,O,N,N,AUTRE,IDENTIQUE,V,pi,2,12721.0,4,1960.0,0.0,   8,06088,13,0.0,0.0784745334580591,5,10.225,18833.888888888898
2664,8715,2014,"0,169863014",0,V,N,2,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,1440.0,3,1960.0,0.3,   5,38185,14,0.0,0.05887035751935715,0,8.25,19861.833333333336
2665,2993,2015,0,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,460.0,2,-1.0,0.0,   .,13203,5,0.0,0.07815247478208608,0,11.95,11726.5
2666,11336,2012,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1939.0,3,1980.0,0.0,   .,54395,1,1.0,0.04957955230434794,0,9.5,19623.6666666667
2667,15044,2014,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,360.0,2,1960.0,0.0,   .,90008,0,0.0,0.04558870397827262,0,11.625,20096.0
2668,15268,2015,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,2000.0,3,2009.0,0.3,   1,2A004,10,0.0,0.04421528186996661,0,10.075,20235.384615384613
2669,13920,2012,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,325.0,3,1980.0,0.0,   .,92025,0,0.0,0.06054459246334862,0,7.425,20275.3846153846
2670,2083,2014,1,0,V,N,2,O,1,O,N,O,N,N,AUTRE,IDENTIQUE,V,pi,2,1961.0,2,1966.0,0.0,   3,38567,14,0.0,0.05887035751935715,0,8.25,20807.33333333333
2671,3902,2012,1,0,V,N,1,O,1,O,N,O,O,N,AUTRE,IDENTIQUE,V,base,2,1368.0,1,1977.0,0.0,   3,15014,3,0.0,0.02236543092629651,6,6.475,18905.3333333333
2672,3293,2013,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,pi,2,1256.0,2,1994.0,0.0,   3,38527,14,0.0,0.05406969637854372,0,8.275,22077.0
2673,18517,2014,1,1,V,N,2,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,effpi,2,11810.0,2,1970.0,0.0,   6,76351,1,0.0,0.0460752671076062,0,11.175,18243.913043478264
2674,6705,2015,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,570.0,2,1960.0,0.0,   .,95563,0,0.0,0.06796007865787937,3,10.35,26361.90476190476
2675,19493,2016,1,0,V,N,3,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,1000.0,2,1967.0,0.0,   3,30133,15,0.0,0.05245375374323118,0,13.55,19302.166666666664
2676,16019,2012,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,650.0,2,1940.0,0.3,   5,13205,3,0.0,0.08578364194793993,1,11.75,18172.6666666667
